portName;portCode;cityName;domestic;countryName;countryCode
Varşova;WAW;Varşova;False;Polonya;PL
Lizbon;LIS;Lizbon;False;Portekiz;PT
Bükreş-Otopeni;OTP;Bükreş - Henri Coanda;False;Romanya;RO
Airport Grozny im. A.A. Kadyro;GRV;Grozny;False;Rusya;RU
Kazan;KZN;Kazan;False;Rusya;RU
Krasnodar;KRR;Krasnodar;False;Rusya;RU
Mahaçkale;MCX;Mahaçkale - Uytaş;False;Rusya;RU
Mineralnye Vody;MRV;Mineralnye Vody;False;Rusya;RU
Moskova - Domodedovo;DME;Moskova - Domodedovo;False;Rusya;RU
Moskova Tümü;DME_ZIA_VKO;Moskova Tümü;False;Rusya;RU
Moskova-Vnukovo;VKO;Moskova;False;Rusya;RU
St.Petersburg;LED;St.Petersburg Pulkovo;False;Rusya;RU
Belgrad;BEG;Belgrad;False;Sırbistan;RS
Bratislava;BTS;Bratislava;False;Slovakya;SK
Cidde;JED;JEDDAH;False;Suudi Arabistan;SA
Dammam;DMM;Dammam King Fahd;False;Suudi Arabistan;SA
Medine;MED;Prince Mohammad Bin Abdulaziz - Medine;False;Suudi Arabistan;SA
Riyad;RUH;Riyad - Kral Halid;False;Suudi Arabistan;SA
Adana;ADA;Adana;True;Türkiye;TR
Adıyaman;ADF;Adıyaman;True;Türkiye;TR
Ağrı;AJI;Ağrı;True;Türkiye;TR
Alanya-Gazipaşa;GZP;Gazipaşa;True;Türkiye;TR
Amasya - Merzifon;MZH;Amasya Merzifon;True;Türkiye;TR
Ankara;ESB;Ankara Esenboğa;True;Türkiye;TR
Antalya;AYT;Antalya;True;Türkiye;TR
Balıkesir-Edremit;EDO;Balıkesir - Edremit;True;Türkiye;TR
Batman;BAL;Batman;True;Türkiye;TR
Bingöl;BGG;Bingöl;True;Türkiye;TR
Dalaman;DLM;Dalaman;True;Türkiye;TR
Denizli;DNZ;Denizli;True;Türkiye;TR
Diyarbakır;DIY;Diyarbakır;True;Türkiye;TR
Elazığ;EZS;Elazığ;True;Türkiye;TR
Erzincan;ERC;Erzincan;True;Türkiye;TR
Erzurum;ERZ;Erzurum;True;Türkiye;TR
Eskişehir;AOE;Eskişehir;True;Türkiye;TR
Gaziantep;GZT;Gaziantep;True;Türkiye;TR
Hatay;HTY;Hatay;True;Türkiye;TR
Iğdır;IGD;Iğdır Şehit Bülent Aydın;True;Türkiye;TR
